frame,image,marker_id,center_u,center_v,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v,pnp_success,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,rvec_x,rvec_y,rvec_z,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
11,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0011.png,5,476.25,102.25,459.0,88.0,489.0,86.0,493.0,116.0,464.0,119.0,True,-0.9343145507795443,-1.4711668283936779,5.305889519530537,5.584777445004258,-2.9399895348454397,0.22274983795188574,-0.49604698679396747,-3.0483870967741935,0.0,2.2,0.0,0.5064516129032258,-0.5
11,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0011.png,7,68.75,72.5,46.0,56.0,85.0,54.0,92.0,89.0,52.0,91.0,True,-2.7859540929071023,-1.4023768477484626,4.533965865208895,5.503185213834456,3.1125629249439384,-0.25293179514779185,0.5420051319578097,-3.0483870967741935,0.0,2.2,0.0,0.5064516129032258,-0.5
11,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0011.png,6,168.75,66.25,147.0,50.0,184.0,48.0,190.0,82.0,154.0,85.0,True,-2.379261285467169,-1.483010392186341,4.69470835616068,5.468134109297291,-2.509665244725553,0.13523615717225618,-0.8005270486912389,-3.0483870967741935,0.0,2.2,0.0,0.5064516129032258,-0.5
12,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0012.png,14,154.5,447.0,126.0,465.0,130.0,439.0,181.0,430.0,181.0,454.0,True,-1.7132848688880076,0.3060942815687087,3.281722907094992,3.7146660671077374,1.283831145544978,-1.9107226906574388,1.143832292134043,-2.9967741935483874,0.0,2.2,0.0,0.5129032258064516,-0.6000000000000001
12,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0012.png,1,764.75,380.75,673.0,360.0,789.0,337.0,862.0,398.0,735.0,428.0,True,0.153221291559826,0.022802108001555972,1.1462806581079472,1.1567005003322874,2.0469059941342924,-0.4052001799251489,0.24224940808475026,-2.9967741935483874,0.0,2.2,0.0,0.5129032258064516,-0.6000000000000001
12,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0012.png,2,521.25,353.5,483.0,326.0,548.0,315.0,559.0,380.0,495.0,393.0,True,-0.29968417309568557,-0.016391055510745507,2.3543662752321652,2.37341943791134,-3.0160630195052325,0.26897054809543863,-0.5782395680635748,-2.9967741935483874,0.0,2.2,0.0,0.5129032258064516,-0.6000000000000001
12,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0012.png,5,441.5,89.0,423.0,74.0,454.0,72.0,460.0,104.0,429.0,106.0,True,-1.0597369432502262,-1.4475827924827573,4.965134507102745,5.279308572493553,3.0853976736620536,-0.2953079688285654,0.7129908040304755,-2.9967741935483874,0.0,2.2,0.0,0.5129032258064516,-0.6000000000000001
12,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0012.png,6,116.0,54.5,92.0,38.0,132.0,35.0,140.0,71.0,100.0,74.0,True,-2.4759934298334736,-1.4438672120418738,4.39305410520794,5.245399923921191,3.104102788010697,-0.31064366647194613,0.5613747235643914,-2.9967741935483874,0.0,2.2,0.0,0.5129032258064516,-0.6000000000000001
13,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0013.png,14,50.5,480.75,20.0,502.0,22.0,474.0,80.0,460.0,80.0,487.0,True,-1.9422297806306494,0.39682979656636536,3.064120979505862,3.6494613006934937,1.2061996908770132,-2.00307339786603,1.1750432669083535,-2.945161290322581,0.0,2.2,0.0,0.5193548387096774,-0.7
13,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0013.png,1,705.25,389.75,610.0,372.0,726.0,342.0,805.0,403.0,680.0,442.0,True,0.07819228375299675,0.032849783196709004,1.1182381487189192,1.1214498199852259,2.039979788308023,-0.5106730864876036,0.3070042032039819,-2.945161290322581,0.0,2.2,0.0,0.5193548387096774,-0.7
