image_path,observer_type,camera_name,frame_id,detection_mode,pass,marker_id,area_px2,center_u,center_v,accepted,reason
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0005.png,moving,moving_calib_camera,5,baseline,original,13,6278.5,733.75,485.75,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0005.png,moving,moving_calib_camera,5,baseline,original,9,4457.0,579.25,200.0,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0005.png,moving,moving_calib_camera,5,baseline,original,16,728.0,423.5,18.0,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0006.png,moving,moving_calib_camera,6,baseline,original,13,7720.0,817.0,549.25,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0006.png,moving,moving_calib_camera,6,baseline,original,11,6234.0,338.5,378.5,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0006.png,moving,moving_calib_camera,6,baseline,original,9,4658.5,666.5,232.25,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0006.png,moving,moving_calib_camera,6,baseline,original,10,4454.0,89.0,224.75,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0006.png,moving,moving_calib_camera,6,baseline,original,16,702.0,521.0,40.5,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0006.png,moving,moving_calib_camera,6,baseline,original,0,430.5,675.75,23.5,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0007.png,moving,moving_calib_camera,7,baseline,original,11,6890.0,404.5,415.5,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0007.png,moving,moving_calib_camera,7,baseline,original,9,5090.5,752.5,268.25,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0007.png,moving,moving_calib_camera,7,baseline,original,10,4066.0,182.0,240.75,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0007.png,moving,moving_calib_camera,7,baseline,original,16,689.0,615.0,64.75,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0007.png,moving,moving_calib_camera,7,baseline,original,0,463.0,771.75,49.25,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0008.png,moving,moving_calib_camera,8,baseline,original,11,7859.5,463.75,456.75,True,original_pass
