marker_id,segment,corner_a,corner_b,length_colmap_units,length_metric_m,scale_m_per_colmap_unit,used_for_scale,scale_abs_dev_from_median
19,side_01,0,1,0.21694991450563897,0.17,0.783590997891734,yes,0.0050730038000385
19,side_12,1,2,0.21619886499477622,0.17,0.7863131011539193,yes,0.002350900537853251
19,side_23,2,3,0.21635493743728226,0.17,0.7857458767229669,yes,0.0029181249688056132
19,side_30,3,0,0.21600522986872808,0.17,0.787017981478103,yes,0.0016460202136695523
19,diag_02,0,2,0.305768223397458,0.2404163056034262,0.7862697533841408,yes,0.0023942483076316856
19,diag_13,1,3,0.3062387769907916,0.2404163056034262,0.7850616044311571,yes,0.0036023972606153976
20,side_01,0,1,0.2087228366144,0.17,0.814477240523817,yes,0.02581323883204445
20,side_12,1,2,0.21245815016899772,0.17,0.8001575833394727,yes,0.011493581647700202
20,side_23,2,3,0.2078054824989624,0.17,0.8180727378107016,yes,0.029408736118929024
20,side_30,3,0,0.2146786560086021,0.17,0.7918812385018293,yes,0.0032172368100568116
20,diag_02,0,2,0.2979428074814934,0.2404163056034262,0.80692099143343,yes,0.01825698974165746
20,diag_13,1,3,0.2985115703864609,0.2404163056034262,0.8053835410539596,yes,0.016719539362187064
