mode,root_camera,target_camera,root_marker,target_marker,root_frame,target_frame,quality,root_area_px2,target_area_px2,root_distance_m,target_distance_m,root_support_key,target_support_key,translation_deviation_m,rotation_deviation_deg,inlier,pose_support,x_m,y_m,z_m,support_keys
relay,cam_edge_1,cam_edge_0,2,4,105,133,0.6911242870270985,,,,,,,0.01323261559526146,1.4433711518606434,True,True,0.18329926011775,-1.3034395788856927,4.862714936090171,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,105,134,0.6871853292148603,,,,,,,0.03719177106792418,0.6890026306675598,True,True,0.1794237981801977,-1.3267238970658126,4.835514886383452,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,106,37,0.6789212440664067,,,,,,,0.07884776633109754,0.6107814907221586,True,True,0.1648476714521685,-1.3277629439850354,4.942029746751875,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,106,128,0.6714697586407959,,,,,,,0.012516599839288106,0.37370048440075515,True,True,0.1939520105452046,-1.302502650311765,4.863960180919268,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,106,129,0.6780593332964581,,,,,,,0.03906932487831723,0.6658736254026547,True,True,0.20073631918776969,-1.3055521030937802,4.831947449559865,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,106,130,0.6774384513969717,,,,,,,0.02935486645139921,0.5871982297301922,True,True,0.1892066660530246,-1.318474344518994,4.839735866548959,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,106,131,0.6771491479942714,,,,,,,0.0187632678755136,0.39821614255201987,True,True,0.18895477832139018,-1.3245531525839702,4.853610854416144,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,106,132,0.6783388434446248,,,,,,,0.020349991444522764,0.5621832804736878,True,True,0.1861860276514049,-1.333101164793014,4.865361769956715,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,106,133,0.6851129038268079,,,,,,,0.011951705785122753,0.2094148364757573,True,True,0.1964760381732389,-1.303766583027794,4.86610315862514,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,106,134,0.6812082069792957,,,,,,,0.03272747821957787,0.6943177997192981,True,True,0.1918507989791861,-1.3269669485760343,4.838948571844704,"[None, None, None, None]"
