frame,segment,x,y,z,roll,pitch,yaw,image,set_pose_ok
114,9,2.7755575615628914e-17,0.48333333333333334,2.2,0.0,0.48333333333333334,-8.216666666666667,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0114.png,True
115,9,-0.09999999999999998,0.475,2.2,0.0,0.475,-8.125,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0115.png,True
116,9,-0.19999999999999996,0.4666666666666667,2.2,0.0,0.4666666666666667,-8.033333333333333,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0116.png,True
117,9,-0.3,0.45833333333333337,2.2,0.0,0.45833333333333337,-7.941666666666666,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0117.png,True
118,9,-0.39999999999999997,0.45,2.2,0.0,0.45,-7.85,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0118.png,True
119,9,-0.5,0.44166666666666665,2.2,0.0,0.44166666666666665,-7.758333333333333,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0119.png,True
120,9,-0.5999999999999999,0.43333333333333335,2.2,0.0,0.43333333333333335,-7.666666666666667,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0120.png,True
121,9,-0.7,0.42500000000000004,2.2,0.0,0.42500000000000004,-7.575,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0121.png,True
122,9,-0.8,0.4166666666666667,2.2,0.0,0.4166666666666667,-7.483333333333333,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0122.png,True
123,9,-0.8999999999999999,0.4083333333333333,2.2,0.0,0.4083333333333333,-7.391666666666667,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0123.png,True
124,10,-1.0,0.4,2.2,0.0,0.4,-7.3,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0124.png,True
125,10,-1.0,0.2666666666666667,2.2,0.0,0.4,-7.2,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0125.png,True
126,10,-1.0,0.13333333333333336,2.2,0.0,0.4,-7.1,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0126.png,True
127,11,-1.0,0.0,2.2,0.0,0.4,-7.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0127.png,True
128,11,-0.9090909090909091,0.10909090909090909,2.2,0.0,0.39090909090909093,-7.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0128.png,True
129,11,-0.8181818181818181,0.21818181818181817,2.2,0.0,0.38181818181818183,-7.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0129.png,True
130,11,-0.7272727272727273,0.3272727272727272,2.2,0.0,0.37272727272727274,-7.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0130.png,True
131,11,-0.6363636363636364,0.43636363636363634,2.2,0.0,0.36363636363636365,-7.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0131.png,True
132,11,-0.5454545454545454,0.5454545454545454,2.2,0.0,0.35454545454545455,-7.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0132.png,True
133,11,-0.4545454545454546,0.6545454545454544,2.2,0.0,0.34545454545454546,-7.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0133.png,True
134,11,-0.36363636363636365,0.7636363636363636,2.2,0.0,0.33636363636363636,-7.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0134.png,True
135,11,-0.2727272727272727,0.8727272727272727,2.2,0.0,0.32727272727272727,-7.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0135.png,True
136,11,-0.18181818181818177,0.9818181818181818,2.2,0.0,0.3181818181818182,-7.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0136.png,True
137,11,-0.09090909090909094,1.0909090909090908,2.2,0.0,0.3090909090909091,-7.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0137.png,True
138,12,0.0,1.2,2.2,0.0,0.3,-7.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0138.png,True
139,12,0.13333333333333333,1.1333333333333333,2.2,0.0,0.3,-6.960176961111111,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0139.png,True
140,12,0.26666666666666666,1.0666666666666667,2.2,0.0,0.3,-6.920353922222223,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0140.png,True
141,12,0.39999999999999997,1.0,2.2,0.0,0.3,-6.880530883333334,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0141.png,True
142,12,0.5333333333333333,0.9333333333333333,2.2,0.0,0.3,-6.840707844444444,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0142.png,True
143,12,0.6666666666666666,0.8666666666666667,2.2,0.0,0.3,-6.8008848055555555,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0143.png,True
144,12,0.7999999999999999,0.8,2.2,0.0,0.3,-6.761061766666667,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0144.png,True
145,12,0.9333333333333333,0.7333333333333333,2.2,0.0,0.3,-6.721238727777778,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0145.png,True
146,12,1.0666666666666667,0.6666666666666666,2.2,0.0,0.3,-6.681415688888889,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0146.png,True
147,12,1.2,0.6,2.2,0.0,0.3,-6.64159265,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0147.png,True
148,12,1.3333333333333333,0.5333333333333333,2.2,0.0,0.3,-6.601769611111111,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0148.png,True
149,12,1.4666666666666668,0.46666666666666656,2.2,0.0,0.3,-6.561946572222222,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0149.png,True
150,12,1.5999999999999999,0.4,2.2,0.0,0.3,-6.522123533333334,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0150.png,True
151,12,1.7333333333333332,0.33333333333333337,2.2,0.0,0.3,-6.482300494444445,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0151.png,True
152,12,1.8666666666666667,0.2666666666666666,2.2,0.0,0.3,-6.442477455555556,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0152.png,True
153,12,2.0,0.19999999999999996,2.2,0.0,0.3,-6.4026544166666675,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0153.png,True
154,12,2.1333333333333333,0.1333333333333333,2.2,0.0,0.3,-6.362831377777778,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0154.png,True
155,12,2.2666666666666666,0.06666666666666665,2.2,0.0,0.3,-6.323008338888889,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0155.png,True
156,13,2.4,0.0,2.2,0.0,0.3,-6.2831853,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0156.png,True
157,13,2.5142857142857142,0.05714285714285714,2.2,0.0,0.32857142857142857,-6.371301685714286,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0157.png,True
158,13,2.6285714285714286,0.11428571428571428,2.2,0.0,0.35714285714285715,-6.459418071428572,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0158.png,True
159,13,2.742857142857143,0.17142857142857143,2.2,0.0,0.3857142857142857,-6.5475344571428575,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0159.png,True
160,13,2.857142857142857,0.22857142857142856,2.2,0.0,0.41428571428571426,-6.635650842857143,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0160.png,True
161,13,2.9714285714285715,0.28571428571428575,2.2,0.0,0.44285714285714284,-6.723767228571429,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0161.png,True
162,13,3.085714285714286,0.34285714285714286,2.2,0.0,0.4714285714285714,-6.811883614285715,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0162.png,True
163,14,3.2,0.4,2.2,0.0,0.5,-6.9,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0163.png,True
164,14,3.2,0.2666666666666667,2.2,0.0,0.5,-6.8500000000000005,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0164.png,True
165,14,3.2,0.13333333333333336,2.2,0.0,0.5,-6.8,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0165.png,True
166,14,3.2,0.0,2.2,0.0,0.5,-6.75,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0166.png,True
167,14,3.2,-0.1333333333333333,2.2,0.0,0.5,-6.7,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0167.png,True
168,14,3.2,-0.2666666666666667,2.2,0.0,0.5,-6.6499999999999995,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0168.png,True
169,15,3.2,-0.4,2.2,0.0,0.5,-6.6,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0169.png,True
170,15,3.342857142857143,-0.4,2.2,0.0,0.4857142857142857,-6.583312185714285,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0170.png,True
