stage,key,legacy_rows,wizard_rows,legacy_cols,wizard_cols,count_equal,blob_equal,legacy_blob_sha256,wizard_blob_sha256,detail
descriptors,frame_0030.png,1050,1050,128,128,True,True,6429211029ea0c9fb6ea34fcc0df1474460eef3f9172f720a7fca786f763add0,6429211029ea0c9fb6ea34fcc0df1474460eef3f9172f720a7fca786f763add0,per-image SQLite feature record compared by semantic image name
keypoints,frame_0031.png,1003,1003,6,6,True,True,f7432d28eeac6e49831e56d73155e7def63e31189e9015a85e1d8912009b5e39,f7432d28eeac6e49831e56d73155e7def63e31189e9015a85e1d8912009b5e39,per-image SQLite feature record compared by semantic image name
descriptors,frame_0031.png,1003,1003,128,128,True,True,f6388dc2a36b48e4325ad58ad7778ebe361315fc78a1b8910e1629902a146553,f6388dc2a36b48e4325ad58ad7778ebe361315fc78a1b8910e1629902a146553,per-image SQLite feature record compared by semantic image name
keypoints,frame_0032.png,956,956,6,6,True,True,47bb546ab133c87cf77b6bb5446d0c3be6551729e9f980d7e85fbb81f02e4fd7,47bb546ab133c87cf77b6bb5446d0c3be6551729e9f980d7e85fbb81f02e4fd7,per-image SQLite feature record compared by semantic image name
descriptors,frame_0032.png,956,956,128,128,True,True,075c37037af21c8b108b746335beba2f8a6ccdd5a20b7fb7c07e8b0fee94f0b6,075c37037af21c8b108b746335beba2f8a6ccdd5a20b7fb7c07e8b0fee94f0b6,per-image SQLite feature record compared by semantic image name
keypoints,frame_0033.png,928,928,6,6,True,True,2d608a8284b1ad8b7edab5edbd12959ad7c61cc453db30486c0bad784553208f,2d608a8284b1ad8b7edab5edbd12959ad7c61cc453db30486c0bad784553208f,per-image SQLite feature record compared by semantic image name
descriptors,frame_0033.png,928,928,128,128,True,True,3343d75301634f5e49864f67bb7ce99f075e7f7945069fc6404af21a4670ad1a,3343d75301634f5e49864f67bb7ce99f075e7f7945069fc6404af21a4670ad1a,per-image SQLite feature record compared by semantic image name
keypoints,frame_0034.png,784,784,6,6,True,True,bc778e8f181f02cfee0ec37a212a8f7d45f62e9c6306fad98e5bbfa143190f11,bc778e8f181f02cfee0ec37a212a8f7d45f62e9c6306fad98e5bbfa143190f11,per-image SQLite feature record compared by semantic image name
descriptors,frame_0034.png,784,784,128,128,True,True,a74693f485b90e2effa5a76aeecbf45bdf58f07ed56ddc059929fd33c48c214b,a74693f485b90e2effa5a76aeecbf45bdf58f07ed56ddc059929fd33c48c214b,per-image SQLite feature record compared by semantic image name
keypoints,frame_0035.png,762,762,6,6,True,True,6c9fd642b65fc0325ca54ce2c3a2fcfefc9a6502d8dd85b85516d5d44d83ad37,6c9fd642b65fc0325ca54ce2c3a2fcfefc9a6502d8dd85b85516d5d44d83ad37,per-image SQLite feature record compared by semantic image name
descriptors,frame_0035.png,762,762,128,128,True,True,7d2458b0ae9fc97b3161db506cfc0fa358561f31f7cdab7485cd1276c42965e8,7d2458b0ae9fc97b3161db506cfc0fa358561f31f7cdab7485cd1276c42965e8,per-image SQLite feature record compared by semantic image name
keypoints,frame_0036.png,790,790,6,6,True,True,b57def6e55751d5afc1e80eebd70046e2dd44e93cb22a33d962d8696605d1ed8,b57def6e55751d5afc1e80eebd70046e2dd44e93cb22a33d962d8696605d1ed8,per-image SQLite feature record compared by semantic image name
descriptors,frame_0036.png,790,790,128,128,True,True,09d7acf175c8cf14ab2f636788d8346213f6e72a4c1ed055c8cc42b64085e1d1,09d7acf175c8cf14ab2f636788d8346213f6e72a4c1ed055c8cc42b64085e1d1,per-image SQLite feature record compared by semantic image name
keypoints,frame_0037.png,761,761,6,6,True,True,f1b5826ef17147d4b01852c4096b6aedfda605d1a7ed13a2c5ecae7b060ded4c,f1b5826ef17147d4b01852c4096b6aedfda605d1a7ed13a2c5ecae7b060ded4c,per-image SQLite feature record compared by semantic image name
descriptors,frame_0037.png,761,761,128,128,True,True,bf06b8f74d3753835126bd64183e30e8d19c46e382d77a0d3aca64948957daae,bf06b8f74d3753835126bd64183e30e8d19c46e382d77a0d3aca64948957daae,per-image SQLite feature record compared by semantic image name
