frame,num_detected,detected_ids,image,debug_image,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
68,3,6;7;8,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0068.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0068_debug.png,0.0,0.0,2.2,0.0,0.32666666666666666,-6.184306289333334
69,3,6;7;8,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0069.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0069_debug.png,0.0,0.0,2.2,0.0,0.3,-6.28318531
70,4,5;6;7;8,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0070.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0070_debug.png,0.15000000000000002,0.0,2.2,0.0,0.3,-6.28318531
71,2,5;8,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0071.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0071_debug.png,0.30000000000000004,0.0,2.2,0.0,0.3,-6.28318531
72,1,5,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0072.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0072_debug.png,0.44999999999999996,0.0,2.2,0.0,0.3,-6.28318531
73,1,5,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0073.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0073_debug.png,0.6000000000000001,0.0,2.2,0.0,0.3,-6.28318531
74,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0074.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0074_debug.png,0.75,0.0,2.2,0.0,0.3,-6.28318531
75,3,6;7;8,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0075.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0075_debug.png,0.8999999999999999,0.0,2.2,0.0,0.3,-6.28318531
76,1,6,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0076.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0076_debug.png,1.0499999999999998,0.0,2.2,0.0,0.3,-6.28318531
77,1,8,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0077.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0077_debug.png,1.2000000000000002,0.0,2.2,0.0,0.3,-6.28318531
78,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0078.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0078_debug.png,1.35,0.0,2.2,0.0,0.3,-6.28318531
79,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0079.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0079_debug.png,1.5,0.0,2.2,0.0,0.3,-6.28318531
80,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0080.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0080_debug.png,1.619047619047619,0.0,2.2,0.0,0.3142857142857143,-6.379224104761905
81,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0081.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0081_debug.png,1.7380952380952381,0.0,2.2,0.0,0.32857142857142857,-6.47526289952381
82,1,11,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0082.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0082_debug.png,1.8571428571428572,0.0,2.2,0.0,0.34285714285714286,-6.571301694285714
83,1,11,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0083.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0083_debug.png,1.9761904761904763,0.0,2.2,0.0,0.3571428571428571,-6.66734048904762
84,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0084.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0084_debug.png,2.0952380952380953,0.0,2.2,0.0,0.37142857142857144,-6.763379283809524
85,2,11;12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0085.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0085_debug.png,2.2142857142857144,0.0,2.2,0.0,0.3857142857142857,-6.859418078571429
